iter	Passed	Remaining
369	3046	5186
370	3053	5177
371	3061	5168
372	3069	5158
373	3077	5150
374	3085	5142
375	3093	5133
376	3100	5123
377	3108	5114
378	3115	5105
379	3123	5095
380	3130	5086
381	3139	5078
382	3147	5069
383	3154	5061
384	3162	5051
385	3169	5041
386	3177	5032
387	3184	5023
388	3192	5014
389	3199	5005
390	3207	4996
391	3215	4987
392	3223	4978
393	3231	4969
394	3239	4961
395	3247	4952
396	3255	4944
397	3263	4935
398	3270	4926
399	3278	4917
400	3286	4909
401	3294	4900
402	3301	4891
403	3310	4883
404	3318	4874
405	3326	4866
406	3334	4858
407	3342	4849
408	3350	4841
409	3358	4833
410	3366	4824
411	3374	4816
412	3382	4807
413	3390	4799
414	3397	4789
415	3408	4785
416	3416	4777
417	3424	4768
418	3432	4760
419	3441	4752
420	3449	4744
421	3457	4736
422	3465	4727
423	3473	4718
424	3480	4709
425	3488	4700
426	3496	4692
427	3504	4682
428	3511	4674
429	3520	4666
430	3528	4657
431	3536	4649
432	3544	4640
433	3552	4633
434	3560	4624
435	3568	4616
436	3576	4607
437	3584	4599
438	3592	4590
439	3600	4581
440	3608	4573
441	3616	4565
442	3624	4557
443	3633	4550
444	3642	4542
445	3650	4534
446	3659	4527
447	3667	4518
448	3675	4510
449	3683	4502
450	3692	4494
451	3700	4486
452	3708	4478
453	3717	4470
454	3724	4461
455	3732	4452
456	3739	4443
457	3748	4436
458	3756	4427
459	3764	4418
460	3771	4409
461	3778	4400
462	3786	4391
463	3794	4382
464	3801	4373
465	3808	4364
466	3816	4355
467	3823	4346
468	3830	4337
469	3838	4328
470	3846	4320
471	3854	4311
472	3861	4302
473	3868	4293
474	3876	4284
475	3883	4275
476	3891	4266
477	3899	4258
478	3906	4249
479	3914	4240
480	3922	4231
481	3929	4223
482	3937	4215
483	3945	4206
484	3954	4199
485	3963	4191
486	3970	4182
487	3979	4174
488	3986	4165
489	3993	4156
490	4001	4148
491	4008	4138
492	4015	4129
493	4023	4120
494	4030	4111
495	4037	4102
496	4044	4093
497	4052	4084
498	4059	4076
499	4067	4067
500	4075	4058
501	4082	4050
502	4091	4043
503	4099	4034
504	4107	4025
505	4114	4016
506	4122	4008
507	4129	3999
508	4137	3991
509	4145	3983
510	4153	3974
511	4161	3966
512	4168	3957
513	4177	3949
514	4184	3940
515	4192	3932
516	4200	3924
517	4208	3915
518	4216	3907
519	4225	3900
520	4233	3891
521	4241	3883
522	4249	3875
523	4257	3867
524	4265	3858
525	4272	3850
526	4280	3842
527	4289	3834
528	4297	3825
529	4304	3817
530	4312	3809
531	4320	3800
532	4328	3792
533	4335	3783
534	4343	3775
535	4351	3766
536	4358	3758
537	4366	3749
538	4374	3741
539	4382	3733
540	4390	3725
541	4398	3716
542	4405	3708
543	4413	3699
544	4421	3691
545	4429	3683
546	4437	3674
547	4444	3666
548	4452	3657
549	4459	3649
550	4467	3640
551	4475	3632
552	4482	3623
553	4490	3615
554	4498	3606
555	4506	3598
556	4513	3590
557	4521	3581
558	4529	3573
559	4537	3565
560	4545	3557
561	4553	3548
562	4561	3540
563	4568	3532
564	4576	3523
565	4584	3515
566	4592	3507
567	4601	3499
568	4609	3491
569	4617	3483
570	4625	3475
571	4632	3466
572	4640	3458
573	4647	3449
574	4655	3440
575	4662	3432
576	4671	3424
577	4678	3415
578	4685	3407
579	4694	3399
580	4702	3391
581	4710	3382
582	4717	3374
583	4724	3365
584	4732	3357
585	4741	3349
586	4752	3343
587	4761	3336
588	4769	3328
589	4777	3319
590	4784	3310
591	4791	3302
592	4799	3294
593	4807	3286
594	4815	3277
595	4822	3269
596	4830	3260
597	4837	3252
598	4845	3243
599	4853	3235
600	4860	3226
601	4868	3218
602	4875	3210
603	4882	3201
604	4890	3192
605	4897	3184
606	4905	3176
607	4913	3167
608	4920	3159
609	4927	3150
610	4935	3142
611	4942	3133
612	4950	3125
613	4958	3117
614	4965	3108
615	4973	3100
616	4980	3091
617	4988	3083
618	4995	3074
619	5004	3067
620	5011	3058
621	5019	3050
622	5026	3041
623	5033	3033
624	5040	3024
625	5047	3015
626	5055	3007
627	5063	2999
628	5071	2991
629	5078	2982
630	5086	2974
631	5094	2966
632	5102	2958
633	5110	2949
634	5117	2941
635	5125	2933
636	5133	2925
637	5140	2916
638	5147	2908
639	5155	2899
640	5162	2891
641	5170	2883
642	5177	2874
643	5184	2866
644	5191	2857
645	5199	2849
646	5206	2840
647	5214	2832
648	5222	2824
649	5229	2815
650	5236	2807
651	5243	2798
652	5250	2790
653	5258	2782
654	5266	2773
655	5273	2765
656	5281	2757
657	5288	2748
658	5295	2740
659	5302	2731
660	5310	2723
661	5317	2714
662	5324	2706
663	5331	2698
664	5339	2689
665	5346	2681
666	5353	2672
667	5361	2664
668	5368	2656
669	5375	2647
670	5383	2639
671	5390	2630
672	5398	2622
673	5405	2614
674	5412	2606
675	5420	2597
676	5427	2589
677	5435	2581
678	5442	2572
679	5449	2564
680	5457	2556
681	5464	2548
682	5472	2539
683	5479	2531
684	5486	2523
685	5494	2514
686	5501	2506
687	5509	2498
688	5516	2490
689	5524	2481
690	5531	2473
691	5538	2464
692	5545	2456
693	5553	2448
694	5560	2440
695	5568	2432
696	5575	2423
697	5583	2415
698	5591	2407
699	5599	2399
700	5607	2391
701	5615	2383
702	5623	2375
703	5631	2367
704	5639	2359
705	5646	2351
706	5654	2343
707	5662	2335
708	5672	2328
709	5682	2321
710	5690	2313
711	5698	2304
712	5705	2296
713	5712	2288
714	5720	2280
715	5727	2271
716	5734	2263
717	5742	2255
718	5748	2246
719	5756	2238
720	5763	2230
721	5771	2222
722	5778	2213
723	5785	2205
724	5792	2197
725	5800	2189
726	5807	2180
727	5814	2172
728	5822	2164
729	5829	2156
730	5836	2147
731	5844	2139
732	5851	2131
733	5859	2123
734	5866	2115
735	5875	2107
736	5884	2100
737	5892	2092
738	5902	2084
739	5910	2076
740	5918	2068
741	5925	2060
742	5933	2052
743	5940	2044
744	5947	2035
745	5955	2027
746	5962	2019
747	5969	2011
748	5977	2002
749	5983	1994
750	5991	1986
751	5998	1978
752	6005	1970
753	6013	1961
754	6020	1953
755	6027	1945
756	6034	1937
757	6043	1929
758	6049	1921
759	6057	1912
760	6065	1904
761	6072	1896
762	6079	1888
763	6087	1880
764	6094	1872
765	6101	1863
766	6108	1855
767	6116	1847
768	6123	1839
769	6131	1831
770	6137	1823
771	6145	1814
772	6152	1806
773	6159	1798
774	6166	1790
775	6174	1782
776	6181	1774
777	6188	1765
778	6196	1757
779	6203	1749
780	6210	1741
781	6217	1733
782	6230	1726
783	6254	1723
784	6276	1718
785	6294	1713
786	6304	1706
787	6313	1698
788	6323	1690
789	6331	1682
790	6339	1675
791	6353	1668
792	6369	1662
793	6382	1655
794	6395	1649
795	6405	1641
796	6414	1633
797	6423	1625
798	6431	1617
799	6440	1610
800	6449	1602
801	6457	1594
802	6467	1586
803	6476	1578
804	6484	1570
805	6492	1562
806	6500	1554
807	6508	1546
808	6516	1538
809	6525	1530
810	6533	1522
811	6542	1514
812	6550	1506
813	6559	1498
814	6567	1490
815	6575	1482
816	6583	1474
817	6591	1466
818	6599	1458
819	6607	1450
820	6616	1442
821	6624	1434
822	6632	1426
823	6640	1418
824	6648	1410
825	6656	1402
826	6665	1394
827	6673	1386
828	6682	1378
829	6690	1370
830	6699	1362
831	6708	1354
832	6717	1346
833	6725	1338
834	6734	1330
835	6742	1322
836	6750	1314
837	6758	1306
838	6766	1298
839	6774	1290
840	6782	1282
841	6791	1274
842	6800	1266
843	6808	1258
844	6816	1250
845	6825	1242
846	6833	1234
847	6841	1226
848	6849	1218
849	6857	1210
850	6867	1202
851	6876	1194
852	6884	1186
853	6892	1178
854	6900	1170
855	6908	1162
856	6916	1154
857	6924	1145
858	6932	1137
859	6941	1129
860	6949	1121
861	6957	1113
862	6965	1105
863	6974	1097
864	6982	1089
865	6990	1081
866	6998	1073
867	7006	1065
868	7014	1057
869	7022	1049
870	7055	1044
871	7062	1036
872	7071	1028
873	7078	1020
874	7086	1012
875	7094	1004
876	7102	996
877	7109	987
878	7117	979
879	7125	971
880	7133	963
881	7142	955
882	7149	947
883	7157	939
884	7166	931
885	7174	923
886	7181	914
887	7189	906
888	7197	898
889	7205	890
890	7213	882
891	7220	874
892	7228	866
893	7236	858
894	7244	849
895	7251	841
896	7259	833
897	7267	825
898	7275	817
899	7285	809
900	7293	801
901	7300	793
902	7308	785
903	7316	776
904	7323	768
905	7331	760
906	7339	752
907	7348	744
908	7365	737
909	7375	729
910	7384	721
911	7392	713
912	7399	705
913	7407	696
914	7414	688
915	7422	680
916	7430	672
917	7438	664
918	7446	656
919	7454	648
920	7462	640
921	7470	631
922	7478	623
923	7485	615
924	7493	607
925	7502	599
926	7509	591
927	7519	583
928	7527	575
929	7535	567
930	7543	559
931	7551	550
932	7560	542
933	7568	534
934	7577	526
935	7585	518
936	7593	510
937	7601	502
938	7609	494
939	7617	486
940	7625	478
941	7634	470
942	7642	461
943	7650	453
944	7658	445
945	7667	437
946	7675	429
947	7684	421
948	7692	413
949	7701	405
950	7709	397
951	7716	389
952	7724	380
953	7732	372
954	7740	364
955	7748	356
956	7756	348
957	7764	340
958	7772	332
959	7780	324
960	7788	316
961	7795	307
962	7804	299
963	7812	291
964	7820	283
965	7828	275
966	7836	267
967	7845	259
968	7853	251
969	7862	243
970	7870	235
971	7879	226
972	7886	218
973	7895	210
974	7902	202
975	7910	194
976	7918	186
977	7927	178
978	7935	170
979	7943	162
980	7951	154
981	7959	145
982	7967	137
983	7975	129
984	7983	121
985	7991	113
986	8000	105
987	8009	97
988	8017	89
989	8026	81
990	8035	72
991	8043	64
992	8051	56
993	8059	48
994	8067	40
995	8075	32
996	8083	24
997	8091	16
998	8098	8
999	8107	0
